date,home_team,away_team,home_score,away_score,outcome,home_odds,away_odds,injuries_home,injuries_away
2025-10-05,Toronto Blue Jays,New York Yankees,1,13.0,7.0,MLB,,,
2025-10-05,Seattle Mariners,Detroit Tigers,1,3.0,2.0,MLB,,,
2025-10-06,Philadelphia Phillies,Los Angeles Dodgers,0,3.0,4.0,MLB,,,
2025-10-06,Milwaukee Brewers,Chicago Cubs,1,7.0,3.0,MLB,,,
2025-10-06,Philadelphia Phillies,Los Angeles Dodgers,0,3.0,4.0,,,,
2025-10-06,Milwaukee Brewers,Chicago Cubs,1,7.0,3.0,,,,
2025-10-06,Philadelphia Phillies,Los Angeles Dodgers,0,3.0,4.0,,,,
2025-10-06,Milwaukee Brewers,Chicago Cubs,1,7.0,3.0,,,,
2025-10-06,Philadelphia Phillies,Los Angeles Dodgers,0,3.0,4.0,,,,
2025-10-06,Milwaukee Brewers,Chicago Cubs,1,7.0,3.0,,,,
2025-10-06,Philadelphia Phillies,Los Angeles Dodgers,0,3.0,4.0,,,,
2025-10-06,Milwaukee Brewers,Chicago Cubs,1,7.0,3.0,,,,
2025-10-06,Philadelphia Phillies,Los Angeles Dodgers,0,3.0,4.0,,,,
2025-10-06,Milwaukee Brewers,Chicago Cubs,1,7.0,3.0,,,,
2025-10-07,Detroit Tigers,Seattle Mariners,0,4.0,8.0,,,,
2025-10-07,New York Yankees,Toronto Blue Jays,1,9.0,6.0,,,,
2025-10-08,Detroit Tigers,Seattle Mariners,1,9.0,3.0,,,,
2025-10-08,Chicago Cubs,Milwaukee Brewers,1,4.0,3.0,,,,
2025-10-08,New York Yankees,Toronto Blue Jays,0,2.0,5.0,,,,
2025-10-08,Los Angeles Dodgers,Philadelphia Phillies,0,2.0,8.0,,,,
2025-10-09,Los Angeles Dodgers,Philadelphia Phillies,1,2.0,1.0,,,,
2025-10-09,Chicago Cubs,Milwaukee Brewers,1,6.0,0.0,,,,
2025-10-10,Seattle Mariners,Detroit Tigers,1,3.0,2.0,,,,
2025-10-11,Milwaukee Brewers,Chicago Cubs,1,3.0,1.0,,,,
2025-10-11,Milwaukee Brewers,Chicago Cubs,3,1.0,1.0,,,,
2025-10-12,Toronto Blue Jays,Seattle Mariners,1,3.0,0.0,,,,
2025-10-13,Toronto Blue Jays,Seattle Mariners,3,10.0,0.0,,,,
2025-10-13,Milwaukee Brewers,Los Angeles Dodgers,1,2.0,0.0,,,,
2025-10-14,Milwaukee Brewers,Los Angeles Dodgers,1,5.0,0.0,,,,
2025-10-15,Seattle Mariners,Toronto Blue Jays,4,13.0,0.0,,,,
2025-10-16,Los Angeles Dodgers,Milwaukee Brewers,3,1.0,1.0,,,,
2025-10-16,Seattle Mariners,Toronto Blue Jays,2,8.0,0.0,,,,
2025-10-17,Seattle Mariners,Toronto Blue Jays,6,2.0,1.0,,,,
2025-10-17,Los Angeles Dodgers,Milwaukee Brewers,5,1.0,1.0,,,,
2025-10-19,Toronto Blue Jays,Seattle Mariners,6,2.0,1.0,,,,
2025-10-20,Toronto Blue Jays,Seattle Mariners,4,3.0,1.0,,,,
